Date,Open,High,Low,Close,Adj Close,Volume,Stock,SMA_50,T_SMA_50,SMA_150,T_SMA_150,SMA_200,T_SMA_200,VOL_50,EMA_5,T_EMA_5,EMA_10,T_EMA_10,EMA_21,T_EMA_21,EMA_50,T_EMA_50,EMA_200,T_EMA_200,MACD,SIGNAL,HIST,RSI
2019-05-31,,,,,,,GPI,,False,,False,,False,,,False,,False,,False,,False,,False,,,,
2019-06-03,72.4800033569336,76.2300033569336,72.4800033569336,75.52999877929688,74.59894561767578,131700.0,GPI,,False,,False,,False,,76.0,False,76.0,False,76.0,False,76.0,False,76.0,False,0.0,0.0,0.0,
2019-06-04,76.30000305175781,79.05999755859375,75.87999725341797,78.76000213623047,77.78913116455078,125700.0,GPI,,False,,False,,False,,77.0,True,76.0,True,76.0,True,76.0,True,76.0,True,0.25766408545339914,0.05153281709067983,0.2061312683627193,
2019-06-05,78.55000305175781,78.94000244140625,74.91999816894531,75.3499984741211,74.42115783691406,202300.0,GPI,,False,,False,,False,,76.0,False,76.0,False,76.0,False,76.0,False,76.0,False,0.1845782296665277,0.07814189960584941,0.10643633006067829,
2019-06-06,75.3499984741211,76.4000015258789,74.16000366210938,76.05000305175781,75.11253356933594,169900.0,GPI,,False,,False,,False,,76.0,True,76.0,True,76.0,True,76.0,True,76.0,True,0.18105459694221793,0.09872443907312312,0.08233015786909481,
2019-06-07,76.45999908447266,77.12999725341797,75.13999938964844,75.22000122070312,74.29276275634766,193700.0,GPI,,False,,False,,False,,76.0,False,76.0,False,76.0,False,76.0,False,76.0,False,0.1100196435049412,0.10098347995948674,0.00903616354545446,
2019-06-10,75.11000061035156,76.56999969482422,75.11000061035156,76.43000030517578,75.48785400390625,131500.0,GPI,,False,,False,,False,,76.0,True,76.0,True,76.0,True,76.0,True,76.0,True,0.14963583608604836,0.11071395118479907,0.03892188490124929,
2019-06-11,77.16000366210938,78.97000122070312,76.95999908447266,77.22000122070312,76.26811218261719,158000.0,GPI,,False,,False,,False,,76.0,True,76.0,True,76.0,True,76.0,True,76.0,True,0.24198892796701443,0.13696894654124214,0.10501998142577229,
2019-06-12,77.44000244140625,77.6500015258789,75.16999816894531,77.62000274658203,76.66319274902344,116500.0,GPI,,False,,False,,False,,77.0,True,76.0,True,76.0,True,76.0,True,76.0,True,0.34349658403542094,0.1782744740400779,0.16522210999534304,
2019-06-13,77.95999908447266,78.19000244140625,76.20999908447266,77.80000305175781,76.84095764160156,116100.0,GPI,,False,,False,,False,,77.0,True,77.0,True,76.0,True,76.0,True,76.0,True,0.4334698821197094,0.22931355565600423,0.20415632646370516,
2019-06-14,77.75,78.8499984741211,77.08000183105469,77.33999633789062,76.38662719726562,129800.0,GPI,,False,,False,,False,,77.0,True,77.0,True,76.0,True,76.0,True,76.0,True,0.4623262623374558,0.2759160969922946,0.1864101653451612,
2019-06-17,77.68000030517578,79.33999633789062,77.66999816894531,78.25,77.28540802001953,96200.0,GPI,,False,,False,,False,,78.0,True,77.0,True,77.0,True,76.0,True,76.0,True,0.5522587468092155,0.33118462695567874,0.22107411985353675,
2019-06-18,78.5,79.9000015258789,78.01000213623047,78.37999725341797,77.41380310058594,161100.0,GPI,,False,,False,,False,,78.0,True,77.0,True,77.0,True,76.0,True,76.0,True,0.6267952748382868,0.39030675653220037,0.23648851830608641,
2019-06-19,78.30000305175781,78.7300033569336,76.5999984741211,78.19999694824219,77.23603057861328,144900.0,GPI,,False,,False,,False,,78.0,True,77.0,True,77.0,True,76.0,True,76.0,True,0.6636908747349253,0.4449835801727454,0.21870729456217985,
2019-06-20,79.05000305175781,79.08000183105469,77.47000122070312,78.48999786376953,77.52245330810547,145600.0,GPI,,False,,False,,False,,78.0,True,78.0,True,77.0,True,76.0,True,76.0,True,0.7081682311662689,0.49762051037145016,0.21054772079481876,
2019-06-21,78.4000015258789,79.19999694824219,77.48999786376953,77.68000030517578,76.72245025634766,344300.0,GPI,,False,,False,,False,,78.0,False,78.0,False,77.0,True,76.0,True,76.0,True,0.6703296797512479,0.5321623442474097,0.1381673355038382,56.5210591922044
2019-06-24,77.9800033569336,78.11000061035156,76.66999816894531,76.70999908447266,75.76439666748047,102500.0,GPI,,False,,False,,False,,78.0,False,77.0,False,77.0,False,76.0,True,76.0,True,0.5556659916093025,0.5368630737197883,0.01880291788951427,49.25671447191767
2019-06-25,76.70999908447266,77.62000274658203,75.13999938964844,75.91999816894531,74.98413848876953,132900.0,GPI,,False,,False,,False,,77.0,False,77.0,False,77.0,False,76.0,False,76.0,False,0.3964773766798544,0.5087859343118015,-0.11230855763194714,44.26668458952081
2019-06-26,76.0,77.98999786376953,75.7699966430664,77.12000274658203,76.16935729980469,190900.0,GPI,,False,,False,,False,,77.0,True,77.0,True,77.0,True,76.0,True,76.0,True,0.362965552068772,0.47962185786319567,-0.11665630579442365,52.189835622884395
2019-06-27,77.41000366210938,80.36000061035156,77.41000366210938,80.23999786376953,79.25088500976562,148600.0,GPI,,False,,False,,False,,78.0,True,78.0,True,77.0,True,77.0,True,76.0,True,0.5814619888349313,0.4999898840575428,0.08147210477738848,65.80227517668655
2019-06-28,80.31999969482422,82.38999938964844,80.08000183105469,81.88999938964844,80.88053894042969,493800.0,GPI,,False,,False,,False,,79.0,True,78.0,True,78.0,True,77.0,True,76.0,True,0.8776463617123227,0.5755211795884988,0.3021251821238239,70.57387409192062
2019-07-01,83.4000015258789,84.36000061035156,81.93000030517578,82.54000091552734,81.52252960205078,215700.0,GPI,,False,,False,,False,,80.0,True,79.0,True,78.0,True,77.0,True,76.0,True,1.1515499509403782,0.6907269338588746,0.4608230170815035,72.21839272739226
2019-07-02,82.37000274658203,82.51000213623047,80.7300033569336,81.7300033569336,80.72252655029297,117900.0,GPI,,False,,False,,False,,81.0,True,80.0,True,78.0,True,77.0,True,76.0,True,1.2884085138843204,0.8102632498639638,0.4781452640203566,67.17991678791913
2019-07-03,81.91999816894531,83.0,80.76000213623047,82.31999969482422,81.30524444580078,68400.0,GPI,,False,,False,,False,,81.0,True,80.0,True,79.0,True,77.0,True,76.0,True,1.4280164005367055,0.9338138799985123,0.49420252053819325,68.8828643415668
2019-07-05,81.77999877929688,83.41000366210938,81.12999725341797,81.51000213623047,80.50523376464844,85200.0,GPI,,False,,False,,False,,81.0,True,80.0,True,79.0,True,78.0,True,76.0,True,1.4565069178775616,1.0383524875743222,0.4181544303032394,63.97501661292297
2019-07-08,81.19999694824219,82.0,80.04000091552734,80.36000061035156,79.36940002441406,96600.0,GPI,,False,,False,,False,,81.0,False,80.0,True,79.0,True,78.0,True,76.0,True,1.3704921653778683,1.1047804231350313,0.265711742242837,57.69034737237466
2019-07-09,80.8499984741211,81.75,79.97000122070312,81.18000030517578,80.1792984008789,147500.0,GPI,,False,,False,,False,,81.0,True,81.0,True,79.0,True,78.0,True,76.0,True,1.3528966265065208,1.1544036638093294,0.1984929626971914,60.65809750952919
2019-07-10,81.72000122070312,82.13999938964844,80.18000030517578,80.2300033569336,79.24100494384766,133500.0,GPI,,False,,False,,False,,81.0,False,80.0,True,79.0,True,78.0,True,76.0,True,1.247910090191894,1.1731049490858423,0.07480514110605174,55.77680627216149
2019-07-11,80.44999694824219,81.55999755859375,80.01000213623047,80.5199966430664,79.52743530273438,238900.0,GPI,,False,,False,,False,,81.0,False,80.0,True,80.0,True,78.0,True,76.0,True,1.174567851344122,1.1733975295374983,0.0011703218066236865,56.91654901303552
2019-07-12,80.73999786376953,82.88999938964844,80.73999786376953,81.55000305175781,80.54473876953125,193600.0,GPI,,False,,False,,False,,81.0,True,81.0,True,80.0,True,78.0,True,76.0,True,1.1858863480815671,1.175895293246312,0.009991054835255087,60.78263742672867
2019-07-15,81.81999969482422,81.91999816894531,80.02999877929688,81.66000366210938,80.65338897705078,175500.0,GPI,,False,,False,,False,,81.0,True,81.0,True,80.0,True,78.0,True,76.0,True,1.1900147193075412,1.178719178458558,0.01129554084898321,61.1832461151183
2019-07-16,81.19000244140625,82.69999694824219,80.27999877929688,82.31999969482422,81.30524444580078,122700.0,GPI,,False,,False,,False,,82.0,True,81.0,True,80.0,True,78.0,True,76.0,True,1.2323370330566235,1.1894427493781712,0.04289428367845227,63.58668515016807
2019-07-17,82.4800033569336,83.36000061035156,82.0,82.91000366210938,81.88797760009766,155900.0,GPI,,False,,False,,False,,82.0,True,81.0,True,80.0,True,79.0,True,77.0,True,1.2985176576513595,1.2112577310328088,0.08725992661855075,65.63514164544111
2019-07-18,82.73999786376953,83.44000244140625,82.08999633789062,82.58000183105469,81.56204223632812,147700.0,GPI,,False,,False,,False,,82.0,True,82.0,True,81.0,True,79.0,True,77.0,True,1.309245719940293,1.2308553288143056,0.07839039112598734,63.48396213036655
2019-07-19,82.51000213623047,84.29000091552734,82.51000213623047,83.33999633789062,82.31266784667969,121400.0,GPI,,False,,False,,False,,83.0,True,82.0,True,81.0,True,79.0,True,77.0,True,1.3633570602283385,1.2573556750971122,0.10600138513122626,66.22908531322759
2019-07-22,83.80999755859375,84.83000183105469,83.19999694824219,83.33999633789062,82.31266784667969,142100.0,GPI,,False,,False,,False,,83.0,True,82.0,True,81.0,True,79.0,True,77.0,True,1.3902151523602413,1.2839275705497382,0.10628758181050313,66.22908531322759
2019-07-23,84.20999908447266,86.68000030517578,84.06999969482422,85.72000122070312,84.663330078125,207700.0,GPI,,False,,False,,False,,84.0,True,83.0,True,81.0,True,79.0,True,77.0,True,1.5852728487864027,1.3441966261970713,0.24107622258933148,73.47207977428955
2019-07-24,85.54000091552734,88.26000213623047,84.19999694824219,87.98999786376953,86.90535736083984,254200.0,GPI,,False,,False,,False,,85.0,True,84.0,True,82.0,True,80.0,True,77.0,True,1.9011123961593626,1.4555797801895296,0.44553261596983296,78.26108439604162
2019-07-25,88.25,88.56999969482422,86.3499984741211,87.04000091552734,85.9670639038086,292700.0,GPI,,False,,False,,False,,86.0,True,84.0,True,83.0,True,80.0,True,77.0,True,2.0511167021198844,1.5746871645756007,0.47642953754428374,72.3726704867917
2019-07-26,87.38999938964844,88.94000244140625,86.52999877929688,86.72000122070312,85.65100860595703,299600.0,GPI,,False,,False,,False,,86.0,True,85.0,True,83.0,True,80.0,True,77.0,True,2.119739852762578,1.6836977022129962,0.43604215054958173,70.44982483883135
